id line;is closed;x;y;z;attribute
1;False;1158.8825;477.7096;264.6486;0.0
1;False;1165.0418;474.2636;264.0691;0.0
1;False;1167.4755;472.902;263.8557;0.0
1;False;1168.6557;472.2418;263.8969;0.0
1;False;1175.0;468.6923;263.9751;0.0
1;False;1176.3802;467.9201;263.8435;0.0
1;False;1181.0;465.3354;263.0801;0.0
1;False;1181.3166;465.1583;263.018;0.0
1;False;1181.5996;465.0;262.9221;0.0
1;False;1183.7801;463.7801;262.2864;0.0
1;False;1185.0;463.0976;261.2934;0.0
1;False;1185.0626;463.0626;261.209;0.0
1;False;1185.9601;462.5604;259.75;0.0
1;False;1187.9999;461.5642;258.62;0.0
1;False;1193.8135;458.7247;258.65;0.0
1;False;1202.7721;454.3492;259.25;0.0
1;False;1210.3469;450.6496;259.78;0.0
1;False;1218.6675;446.5857;260.24;0.0
1;False;1229.8006;441.1482;259.89;0.0
1;False;1236.1174;438.063;259.58;0.0
1;False;1249.1105;431.717;260.43;0.0
1;False;1257.8624;427.4424;260.46;0.0
1;False;1267.5128;422.729;260.36;0.0
1;False;1272.7244;420.1836;260.17;0.0
1;False;1274.4407;419.3454;259.97;0.0
1;False;1277.5946;417.805;260.09;0.0
1;False;1278.7897;417.2213;259.97;0.0
1;False;1280.9103;416.1856;259.95;0.0
1;False;1284.5584;414.4038;259.87;0.0
1;False;1289.9317;411.7794;259.77;0.0
1;False;1296.5631;408.5405;259.55;0.0
1;False;1298.5938;407.5487;259.51;0.0
1;False;1302.2689;405.7538;259.49;0.0
1;False;1307.0042;403.4409;259.22;0.0
1;False;1308.999;402.4667;259.1;0.0
1;False;1314.2556;399.8993;258.36;0.0
1;False;1315.9898;399.0523;257.85;0.0
1;False;1317.1669;398.4774;257.49;0.0
1;False;1320.1141;397.0379;256.88;0.0
1;False;1324.7237;394.7865;256.85;0.0
1;False;1326.1883;394.0712;256.54;0.0
1;False;1328.8481;392.7721;256.45;0.0
1;False;1330.6182;391.9076;256.0;0.0
1;False;1331.8852;391.2888;255.66;0.0
1;False;1333.7721;390.3672;255.66;0.0
1;False;1334.5988;389.9634;256.02;0.0
1;False;1336.2162;389.1734;256.38;0.0
1;False;1336.9081;388.8355;256.74;0.0
1;False;1337.582;388.5064;256.75;0.0
