id line;is closed;x;y;attribute
1;True;-19.077307;83.790524;1.0
1;True;-25.810474;71.820449;1.0
1;True;-30.798005;61.59601;1.0
1;True;-31.047382;50.623441;1.0
1;True;-24.314214;45.386534;1.0
1;True;-0.124688;46.882793;1.0
1;True;11.346633;56.608479;1.0
1;True;17.082294;69.825436;1.0
1;True;7.107232;79.551122;1.0
1;True;4.114713;72.069825;1.0
1;True;-12.593516;59.600998;1.0
1;True;-9.600998;74.064838;1.0
1;True;-19.077307;83.790524;1.0
2;True;-34.564462;66.456054;2.0
2;True;-35.809479;59.081722;2.0
2;True;-37.629119;58.79441;2.0
2;True;-41.651482;58.890181;2.0
2;True;-46.727321;62.337921;2.0
2;True;-45.865386;66.264513;2.0
2;True;-42.99227;68.275695;2.0
2;True;-39.161448;65.881431;2.0
2;True;-34.564462;66.456054;2.0
